iter	Passed	Remaining
0	60	59998
1	60	30181
2	61	20274
3	61	15328
4	61	12325
5	62	10357
6	62	8934
7	63	7868
8	63	7039
9	64	6361
10	64	5807
11	64	5346
12	65	4970
13	65	4632
14	66	4346
15	66	4096
16	66	3871
17	67	3668
18	67	3491
19	68	3334
20	68	3188
21	68	3063
22	69	2956
23	70	2848
24	70	2747
25	70	2649
26	71	2562
27	71	2478
28	71	2408
29	72	2337
30	72	2273
31	73	2210
32	73	2150
33	73	2095
34	74	2044
35	74	1996
36	75	1952
37	75	1908
38	75	1871
39	76	1832
40	76	1797
41	77	1764
42	77	1732
43	78	1705
44	78	1674
45	79	1650
46	79	1620
47	80	1594
48	80	1567
49	81	1542
50	81	1516
51	82	1495
52	82	1472
53	83	1455
54	83	1439
55	84	1419
56	84	1402
57	85	1382
58	85	1364
59	85	1345
60	86	1329
61	86	1314
62	87	1299
63	87	1286
64	88	1271
65	88	1257
66	89	1242
67	89	1226
68	89	1213
69	90	1201
70	90	1189
71	91	1178
72	92	1168
73	92	1158
74	93	1147
75	93	1137
76	94	1131
77	94	1121
78	95	1112
79	95	1101
80	96	1091
81	96	1083
82	97	1072
83	97	1063
84	98	1056
85	98	1048
86	99	1039
87	99	1030
88	100	1023
89	100	1016
90	100	1008
91	101	1001
92	101	994
93	102	987
94	102	981
95	103	974
96	103	966
97	104	959
98	104	952
99	105	945
100	105	938
101	105	931
102	106	925
103	106	921
104	107	917
105	108	912
106	108	906
107	109	901
108	109	896
109	110	891
110	110	884
111	110	878
112	111	873
113	111	868
114	112	862
115	112	857
116	112	851
117	113	847
118	113	842
119	114	837
120	114	835
121	115	831
122	116	830
123	117	826
124	117	824
125	118	821
126	118	815
127	119	811
128	119	806
129	119	802
130	120	798
131	120	795
132	121	790
133	121	787
134	122	783
135	122	781
136	123	777
137	123	773
138	124	771
139	125	768
140	125	765
141	126	761
142	126	758
143	127	757
144	128	755
145	128	753
146	129	751
147	129	748
148	130	745
149	130	741
150	131	738
151	131	736
152	132	733
153	133	730
154	133	729
155	134	726
156	134	723
157	135	721
158	135	718
159	136	714
160	136	710
161	136	708
162	137	705
163	137	701
164	138	700
165	138	697
166	139	695
167	139	691
168	140	689
169	140	686
170	141	683
171	141	682
172	142	680
173	143	679
174	143	676
175	144	674
176	144	671
177	145	671
178	145	668
179	146	666
180	146	664
181	147	663
182	148	661
183	148	659
184	149	658
185	149	656
186	150	653
187	151	652
188	151	650
189	151	647
190	152	644
191	152	642
192	153	641
193	153	639
194	154	637
195	154	635
196	155	634
197	156	632
198	156	630
199	157	628
200	157	627
201	158	627
202	159	625
203	160	625
204	160	624
205	161	621
206	161	619
207	162	618
208	162	616
209	163	614
210	163	611
211	163	609
212	164	607
213	164	605
214	165	603
215	165	601
216	166	599
217	166	597
218	166	595
219	167	592
220	167	590
221	168	589
222	168	587
223	169	586
224	169	584
225	169	582
226	170	580
227	170	578
228	171	577
229	171	575
230	172	573
231	172	572
232	173	571
233	174	569
234	174	568
235	175	567
236	175	566
237	176	564
238	176	561
239	177	561
240	177	559
241	178	558
242	178	556
243	179	555
244	179	553
245	179	551
246	180	549
247	180	548
248	181	546
249	181	545
250	182	544
251	183	543
252	183	542
253	184	541
254	184	540
255	185	538
256	186	537
257	186	536
258	187	535
259	187	533
260	188	532
261	188	531
262	189	529
263	189	528
264	190	527
265	190	525
266	190	523
267	191	522
268	191	521
269	192	520
270	193	520
271	193	519
272	194	517
273	195	516
274	195	515
275	195	514
